"Y","E1","E2","E3","E4","E5","E6","E7","E8","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30"
7653.36424382398,5.85789100509075,6.26480921857292,5.32660757618627,3.0960992628187,4.87058199515882,4.65306863732196,7.3875528763027,5.7779066892672,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1
4625.81814991361,4.17734928822725,5.6502603388241,4.68954492951157,2.65808170660552,5.70976439108085,4.80440477268939,4.50924655625951,3.60391433136051,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1
6946.00381692792,3.50049300241399,6.85739739443969,5.97768382975274,5.05352708440526,5.50955241612283,6.88625359921902,5.74493256260577,6.36371187870203,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5681.88175823709,2.650149367449,3.93433447676576,5.34833400122368,5.05550600170981,5.9724344867722,6.39494302169878,5.97019748353763,5.4696600560011,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1
7362.74068470873,6.36806677453974,5.36662522993204,5.23373782334821,4.24664190321801,4.01495335657022,6.45677777414841,5.15999056331296,4.68900710379122,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2978.40296876005,3.47375088074888,3.5724194700293,3.29642889937368,5.10952082015304,4.18941253791566,5.51515360026393,6.17003879361917,5.71852059228269,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
8705.99375602416,3.44857923300872,6.43861199915727,5.18038883963619,5.0138976581395,5.97001636030863,4.2981049044775,5.46684647813426,5.83877635745196,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1
5396.98942775697,5.33859946607317,4.66890374877528,5.7197296828558,4.75360487575511,4.57282625901375,3.70595395132326,4.45259518814887,4.0342538344098,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
5640.2243071559,5.33763485503479,4.35046348126025,4.1333097935697,4.1880005350875,4.78346339011986,4.05951952321772,4.86932387346942,3.07765353934626,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1
7156.96086503461,4.63185789030193,4.67484895465606,4.91065257646548,4.99418531518586,5.03689851270729,4.75127528243116,3.60829037964306,5.45712572741471,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0
6059.65492104631,5.22510290639828,3.11324552062406,3.63220804964784,4.38906987922671,5.457142077181,4.75196627056268,5.07074318544349,4.09414701276785,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0
7260.6841233091,5.36519590123253,5.95826762412228,5.45139161304037,3.13799670678784,4.63115991657806,4.47314804252202,3.45104396310044,5.16868015892283,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0
4172.89402062156,5.15599086562869,2.78735246795645,4.60936543660763,4.53583430312383,5.24533470923637,4.91253870731448,3.78055383815962,5.32589566321203,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0
6830.38244978722,4.70679003700826,4.86414400213178,5.89300858224961,5.08956338834375,5.7897573104436,3.6821094448114,4.93005455976059,5.4345572701412,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
7731.54644507111,6.22779872155226,6.01379709245318,6.25905856749783,6.54045453584451,5.1124245648213,5.95724178494145,4.77292059115578,5.1391218944365,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
7466.41348949523,4.27473837267626,3.12923223700998,5.7392425134532,6.83273678410857,5.06974860625191,3.58217076752808,4.90412878007952,4.75810432386991,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0
5630.12190472908,4.13582507317313,6.3948248259508,5.01397087282961,4.8351932551987,4.64683777516441,5.28901987550781,5.2882286639129,5.36912799981428,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1
5853.57375925738,4.55709773580496,3.18858345259369,6.11815130439247,5.47527924534501,6.83827811207351,5.09454392234032,4.34530023189745,7.23850445653382,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
8526.6915763225,4.69591571828123,4.76045302309122,5.4061184476694,5.59874796235401,5.27166327844151,5.09577950431295,6.26074132263266,8.07768793711814,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0
7025.60716337973,5.05530590279075,5.76892916113192,5.1812898171153,5.31136763557555,4.29564752674926,5.47314388553967,5.92307748958178,4.76749289878641,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0
7919.31717069982,6.83132208101244,5.17508604264049,4.11408390846626,6.31381340788088,5.41680166557553,5.08104086650626,4.17055895571699,6.33427630310562,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1
10720.0723922395,6.20537141335683,5.76081348647376,5.44439746160794,6.3396787225654,5.71976741156185,5.63067180936886,3.9999427676725,3.31554541108058,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1
4096.61168652952,3.59752191802743,4.33416893460516,5.35270161181672,5.65622459881594,4.86140207121275,5.18587323020379,4.98752530485679,6.41594963227102,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0
4945.67506086888,4.54324679260898,6.25427639749643,3.4548120311829,5.29606242801436,5.77184159088931,5.34964958152181,4.66100306803646,4.67195526057898,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1
5228.95622388679,6.14888903451821,4.66920587495492,5.87386879157192,4.0007068319823,5.54500245101596,3.81603555609269,4.59490320391896,5.42521464655654,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
